Nombre,Descripcion_del_producto,Precio,Imagen
Caldo de marisco o fideua para paella Hacendado con sofrito,Brick 1 L,"2,10 €",https://prod-mercadona.imgix.net/images/e38cb3ccc86a38036a865957f83f971d.jpg?fit=crop&h=300&w=300
Caldo de carne Hacendado en pastillas,Caja 12 ud. (120 g),"0,85 €",https://prod-mercadona.imgix.net/images/e93fd4318e0a63431c449db04bd1d442.jpg?fit=crop&h=300&w=300
Fumet caldo de pescado Hacendado,Botella 950 g,"3,00 €",https://prod-mercadona.imgix.net/images/d251e99fd1a16ddc6d18033a1c224150.jpg?fit=crop&h=300&w=300
Tomate seco Hacendado en aceite de oliva,Tarro 190 g,"2,30 €",https://prod-mercadona.imgix.net/images/583806865dd5df9204520ea70f4f4287.jpg?fit=crop&h=300&w=300
Tomate ensalada,1 kg aprox.,"2,09 €",https://prod-mercadona.imgix.net/images/b132dc9f799b24b1ddc76b03731dd92f.jpg?fit=crop&h=300&w=300
Salsa de tomate con Albahaca Hacendado,Tarro 400 g,"1,75 €",https://prod-mercadona.imgix.net/images/a4df9be0e66c4c72ee971c33856dfc27.jpg?fit=crop&h=300&w=300
Tomate canario,Pieza 190 g aprox.,"0,36 €",https://prod-mercadona.imgix.net/images/a80465f28148c351b28802d12d5e5a38.jpg?fit=crop&h=300&w=300
Caldo de pollo Avecrem en pastillas,Caja 24 ud. (240 g),"2,95 €",https://prod-mercadona.imgix.net/images/7ec740fb505add047043453134ff3d07.jpg?fit=crop&h=300&w=300
Caldo de verduras Hacendado en pastillas,Caja 12 ud. (120 g),"0,85 €",https://prod-mercadona.imgix.net/images/c2dad675fcad5572a3b39c12a2246eab.jpg?fit=crop&h=300&w=300
Sopa de pollo Gallina Blanca con fideos finos,Sobre 71 g,"0,85 €",https://prod-mercadona.imgix.net/images/e8047938e241f4694a1a3ddab163c9a4.jpg?fit=crop&h=300&w=300
Sopa de pollo Hacendado con fideos finos,2 sobres x 80 g,"1,00 €",https://prod-mercadona.imgix.net/images/1163c7e45fcf684d52129d43ed70017f.jpg?fit=crop&h=300&w=300
Tomate negro,Pieza 150 g aprox.,"0,41 €",https://prod-mercadona.imgix.net/images/4ddfc8d54e0b86c8a7c98dae1398edc1.jpg?fit=crop&h=300&w=300
Panes especiales con tomate y orégano Hacendado,Paquete 80 g,"0,85 €",https://prod-mercadona.imgix.net/images/0d92b58d808b8569d896b359abfa934d.jpg?fit=crop&h=300&w=300
Pan tostado con tomate Hacendado,Paquete 170 g,"1,28 €",https://prod-mercadona.imgix.net/images/6e9f47916f81a70709740fc6f61d703d.jpg?fit=crop&h=300&w=300
Salsa de tomate Boloñesa Hacendado,Tarro 400 g,"1,90 €",https://prod-mercadona.imgix.net/images/b43441a6206b27f5f6c6d2c5d9a5068b.jpg?fit=crop&h=300&w=300
Caldo de pollo Hacendado bajo en sal,Brick 1 L,"1,20 €",https://prod-mercadona.imgix.net/images/006d95c14d735b23b049806ea1eedb0e.jpg?fit=crop&h=300&w=300
Doble caldo sabor clasico carne Knorr en pastillas,Caja 16 ud. (160 g),"1,65 €",https://prod-mercadona.imgix.net/images/89059c77cb93998936ca9b87a6cdfaee.jpg?fit=crop&h=300&w=300
Salsa de tomate Zero sin azucares añadidos Hacendado,Bote 600 g,"1,60 €",https://prod-mercadona.imgix.net/images/4ecccbaf38713c3f2966540720c5eec8.jpg?fit=crop&h=300&w=300
Zumo de tomate Hacendado,Brick 1 L,"1,05 €",https://prod-mercadona.imgix.net/images/ec60ecd4754b2d90a9808cc299e334a7.jpg?fit=crop&h=300&w=300
Zumo de manzana Hacendado,6 mini bricks x 200 ml,"1,30 €",https://prod-mercadona.imgix.net/images/489ad89bfbeeb7bb5a900deb2c6060bd.jpg?fit=crop&h=300&w=300
Filetes de caballa del sur en tomate Hacendado,2 latas x 65 g,"1,55 €",https://prod-mercadona.imgix.net/images/d5da719383ca0fb385ca259befd01d02.jpg?fit=crop&h=300&w=300
Sardinillas en tomate Hacendado,2 latas x 65 g,"1,60 €",https://prod-mercadona.imgix.net/images/aff82c8f60e81628279ad09c64dba7cc.jpg?fit=crop&h=300&w=300
Néctar de guayaba Hacendado,Brick 1 L,"1,30 €",https://prod-mercadona.imgix.net/images/dacfae6e38331b0836c04f7ada6fe256.jpg?fit=crop&h=300&w=300
Alubias con tomate Heinz,Bote 415 g,"1,50 €",https://prod-mercadona.imgix.net/images/b7271388f347be0f04c504571ed30cfd.jpg?fit=crop&h=300&w=300
Zumo de manzana Hacendado,Brick 1 L,"0,80 €",https://prod-mercadona.imgix.net/images/451abecbb2ed19b53ccfb5adf44ae804.jpg?fit=crop&h=300&w=300
Mermelada de tomate Hacendado,Tarro 440 g,"1,95 €",https://prod-mercadona.imgix.net/images/f61d58c4d7425cc934dc90a7c7bfb392.jpg?fit=crop&h=300&w=300
Bebida de mango Hacendado sin azucares añadidos,Brick 1 L,"1,25 €",https://prod-mercadona.imgix.net/images/191638cef0db2f45d01d900f1e6120e5.jpg?fit=crop&h=300&w=300
Pizzas tomate y queso Hacendado ultracongeladas,2 ud. x 285 g,"2,40 €",https://prod-mercadona.imgix.net/images/f0436f96ce14469e9de949a925ce4586.jpg?fit=crop&h=300&w=300
Zumo de manzana seleccion Hacendado,Brick 1 L,"1,60 €",https://prod-mercadona.imgix.net/images/544904027f7b2408bf25b4d47fcfe4a5.jpg?fit=crop&h=300&w=300
"Néctar de maracuya Hacendado fruta de la pasion, mango, uva y manzana",Brick 1 L,"1,35 €",https://prod-mercadona.imgix.net/images/05c074de3ddbb00df363cfb9b7d3c881.jpg?fit=crop&h=300&w=300
Atun en salsa de tomate Hacendado,3 latas x 52 g,"2,10 €",https://prod-mercadona.imgix.net/images/6767f912becd26c84f14537f425fa04a.jpg?fit=crop&h=300&w=300
Bebida de pomelo Hacendado sin azucares añadidos,Brick 1 L,"1,25 €",https://prod-mercadona.imgix.net/images/9d055e110488e6e2a6efa1b322d3ba0e.jpg?fit=crop&h=300&w=300
